day,temperature,humidity,rainfall,wind_speed,wind_direction,aqi
Tuesday,24.5,48.1,9.1,21.7,S,49
Wednesday,23.7,64.4,1.1,12.9,SE,70
Thursday,25.6,51.8,0.0,7.2,NW,45
Friday,26.4,64.1,0.0,5.9,W,41
Saturday,28.7,69.4,0.0,10.3,SE,84
Sunday,30.9,49.0,0.0,19.0,NW,77
Monday,29.8,53.4,1.0,18.7,SW,64
Tuesday,21.5,50.6,0.0,24.9,E,89
Wednesday,18.6,68.5,0.0,27.3,NE,85
Thursday,30.6,64.1,0.0,21.2,S,52
Friday,28.9,50.4,0.0,18.6,S,48
Saturday,24.2,53.9,0.0,24.5,SW,62
Sunday,27.5,66.5,0.0,19.9,E,65
Monday,24.9,61.3,0.0,10.0,SW,50
Tuesday,28.2,50.1,0.1,15.2,NE,52
Wednesday,29.7,56.6,0.0,18.0,E,58
Thursday,23.2,55.7,0.0,16.0,NW,56
Friday,22.7,61.3,0.0,17.3,SE,67
Saturday,20.7,77.8,0.0,7.1,NE,56
Sunday,20.8,75.2,0.0,17.7,W,63
Monday,29.7,82.2,0.0,11.5,S,62
Tuesday,24.7,98.0,25.6,15.6,E,63
Wednesday,25.9,60.2,0.0,13.9,W,57
Thursday,22.4,79.9,2.4,16.0,NW,68
Friday,28.9,71.7,0.0,3.1,NW,48
Saturday,21.6,87.4,32.8,15.0,SE,47
Sunday,19.2,65.5,0.0,7.7,E,56
Monday,21.6,83.6,38.6,7.8,NW,41
Tuesday,24.7,73.7,0.0,13.8,NE,32
Wednesday,21.8,96.2,20.2,9.7,E,61
Thursday,24.6,89.1,6.2,14.0,NE,31
Friday,30.2,78.7,27.3,11.0,E,34
Saturday,20.8,71.6,32.6,8.4,E,66
Sunday,27.6,84.9,0.0,15.5,SW,40
Monday,24.1,91.0,21.8,13.5,SW,39
Tuesday,29.0,72.9,17.5,5.2,E,57
Wednesday,28.7,68.1,0.0,14.5,SW,58
Thursday,27.3,80.9,0.0,17.9,W,35
Friday,19.7,71.1,0.0,14.0,W,68
Saturday,22.3,82.2,0.0,8.7,S,34
Sunday,27.6,85.9,33.0,8.8,E,57
Monday,27.2,77.0,29.3,14.5,S,37
Tuesday,28.2,89.4,28.1,17.0,NE,36
Wednesday,23.5,68.0,9.8,16.3,E,35
Thursday,24.5,71.8,0.0,3.0,NW,38
Friday,18.5,83.9,0.0,9.1,SE,57
Saturday,20.3,84.9,3.2,15.8,SE,65
Sunday,17.9,85.7,33.4,14.5,W,56
Monday,23.4,86.3,27.9,8.7,NW,26
Tuesday,27.4,75.1,0.0,3.9,W,46
Wednesday,20.9,75.1,15.7,13.0,E,31
Thursday,28.5,97.7,39.9,9.5,NE,49
Friday,22.5,87.4,38.2,12.8,SE,30
Saturday,21.6,78.9,31.0,4.9,E,26
Sunday,23.0,83.6,33.3,13.0,SE,36
Monday,26.7,83.3,32.3,10.9,SW,64
Tuesday,27.1,76.4,0.0,10.1,E,39
Wednesday,24.9,72.6,8.5,2.1,SE,34
Thursday,23.8,98.0,28.0,6.4,S,46
Friday,27.7,86.1,0.0,5.3,SE,38
Saturday,26.5,86.3,9.8,6.9,N,43
Sunday,23.4,85.2,0.0,8.0,SW,26
Monday,25.7,88.5,33.5,11.7,NE,64
Tuesday,25.7,76.9,0.0,14.2,SW,50
Wednesday,27.1,89.8,29.5,10.8,W,45
Thursday,22.8,83.2,48.6,4.7,NE,47
Friday,23.3,90.8,20.4,6.4,NE,26
Saturday,27.5,74.6,0.0,11.6,NE,38
Sunday,20.3,98.0,20.7,8.1,SE,26
Monday,23.3,85.6,0.0,2.1,S,30
Tuesday,24.9,98.0,50.5,7.0,SW,64
Wednesday,26.6,92.0,48.5,4.4,NW,37
Thursday,23.6,77.9,0.0,12.5,E,33
Friday,19.6,98.0,19.7,10.4,SE,64
Saturday,21.5,93.6,11.4,4.2,SW,30
Sunday,21.1,82.6,54.8,10.7,E,48
Monday,27.2,89.4,20.4,4.0,SE,58
Tuesday,20.6,88.2,9.5,13.2,N,41
Wednesday,23.2,98.0,23.3,6.3,N,39
Thursday,27.4,97.8,22.0,12.0,W,35
Friday,25.8,84.7,3.8,6.3,W,35
Saturday,25.8,84.8,14.1,9.9,S,62
Sunday,22.6,67.6,0.0,15.9,S,47
Monday,17.7,98.0,22.8,13.6,NW,32
Tuesday,18.7,79.5,32.1,10.6,E,43
Wednesday,16.7,94.5,37.9,17.5,W,61
Thursday,25.7,87.4,38.5,4.2,SW,55
Friday,18.6,77.0,11.4,5.1,E,59
Saturday,24.9,71.3,0.0,6.1,S,32
Sunday,21.4,80.7,0.0,17.3,E,64
Monday,17.2,86.1,38.9,16.0,SE,32
Tuesday,24.8,68.7,0.0,6.7,SE,67
Wednesday,23.8,76.9,0.0,14.6,SW,57
Thursday,25.7,84.6,6.7,18.0,SW,43
Friday,23.3,78.0,12.0,11.1,W,33
Saturday,20.8,81.1,32.3,10.7,NW,61
Sunday,23.7,69.7,0.0,12.5,SE,41
Monday,22.8,93.2,43.7,5.0,NE,37
Tuesday,20.3,70.1,0.0,17.0,W,35
Wednesday,19.4,81.8,26.9,15.6,W,44
Thursday,20.6,68.4,0.0,12.9,NW,53
Friday,27.2,83.1,33.7,10.2,SW,55
Saturday,22.8,75.9,21.4,11.3,E,48
Sunday,20.3,87.2,27.0,11.0,E,35
Monday,26.9,86.6,0.0,7.0,SE,37
Tuesday,26.0,92.0,4.0,3.1,SW,64
Wednesday,19.1,98.0,44.5,15.5,S,61
Thursday,25.3,97.4,28.8,16.7,E,45
Friday,21.5,70.0,0.0,8.4,NE,65
Saturday,17.5,70.1,0.0,22.3,E,36
Sunday,22.1,60.1,0.0,17.3,SW,69
Monday,20.4,62.5,0.0,19.8,W,78
Tuesday,23.1,55.1,1.3,32.2,NW,42
Wednesday,16.5,60.8,2.1,15.8,E,36
Thursday,20.7,54.7,0.0,10.3,NE,61
Friday,24.2,72.4,0.0,27.0,NW,100
Saturday,15.6,54.5,0.0,13.6,S,82
Sunday,19.9,61.2,0.0,10.9,SW,50
Monday,19.1,70.3,0.3,15.5,NW,83
Tuesday,19.6,54.9,0.0,27.0,W,94
Wednesday,20.1,54.7,0.0,31.4,SW,104
Thursday,21.5,50.2,0.0,13.1,W,48
Friday,16.5,71.5,0.0,19.5,SW,37
Saturday,18.2,72.0,0.0,8.7,E,63
Sunday,23.1,74.8,0.0,23.2,NW,70
Monday,23.6,69.1,0.0,21.0,N,46
Tuesday,19.1,69.9,0.0,21.8,SW,35
Wednesday,15.5,67.6,10.4,13.4,E,45
Thursday,21.0,74.0,0.0,18.6,NW,83
Friday,26.6,57.0,0.0,25.7,W,63
Saturday,21.3,56.2,0.0,13.5,N,52
Sunday,20.0,60.7,0.0,27.5,S,94
Monday,18.3,56.1,1.4,25.0,S,40
Tuesday,16.7,63.9,0.0,8.8,E,62
Wednesday,20.6,59.4,0.0,9.3,E,69
Thursday,23.2,57.5,0.0,16.3,N,82
Friday,17.7,71.5,0.0,15.9,E,83
Saturday,17.3,62.0,0.0,29.2,E,59
Sunday,24.5,69.0,0.0,20.2,NE,62
Monday,16.9,66.7,0.0,36.2,S,64
Tuesday,13.9,53.4,0.0,31.6,N,95
Wednesday,19.8,56.7,0.0,12.9,SE,43
Thursday,13.9,61.0,0.0,19.1,S,74
Friday,14.5,63.9,0.0,33.7,E,62
Saturday,18.0,70.6,0.0,24.1,NW,52
Sunday,15.2,59.3,0.0,33.0,E,106
Monday,20.1,59.9,0.0,17.3,NE,62
Tuesday,15.4,52.9,0.0,33.1,NE,114
Wednesday,23.3,57.2,2.7,17.8,N,86
Thursday,18.9,65.9,0.0,31.1,NW,74
Friday,23.6,55.6,5.3,36.2,S,48
Saturday,22.7,51.6,0.0,14.7,NW,66
Sunday,14.0,61.5,0.0,17.0,NE,81
Monday,18.8,68.1,0.0,14.3,N,55
Tuesday,20.4,70.2,6.8,19.7,W,56
Wednesday,15.7,66.9,0.0,21.7,N,73
Thursday,22.7,69.7,3.1,26.8,E,64
Friday,14.9,57.0,0.0,30.3,S,85
Saturday,18.7,69.5,0.0,28.3,W,115
Sunday,16.6,59.4,0.0,21.1,NW,87
Monday,19.9,52.7,0.0,21.0,SW,46
Tuesday,15.8,62.2,0.0,25.8,E,82
Wednesday,14.7,62.8,0.0,17.0,SW,58
Thursday,21.3,55.1,0.0,16.1,SE,54
Friday,13.6,57.6,0.0,28.0,E,107
Saturday,16.3,52.9,0.0,13.4,W,47
Sunday,24.6,54.4,0.0,20.6,NW,83
Monday,17.7,64.3,0.0,26.3,SE,109
Tuesday,22.7,58.2,0.0,34.2,SW,84
Wednesday,18.9,58.9,0.0,21.6,N,71
Thursday,16.5,54.8,5.0,34.0,E,84
Friday,16.8,63.2,0.0,26.5,NE,92
Saturday,23.1,61.2,0.0,10.3,W,77
Sunday,23.5,64.5,8.7,26.4,N,63
Monday,18.3,63.2,0.0,14.9,SE,75
Tuesday,20.1,68.7,0.0,21.3,N,66
Wednesday,21.8,49.2,0.0,28.0,S,89
Thursday,22.9,59.2,0.0,37.9,NE,109
Friday,19.1,58.3,0.0,17.4,E,59
Saturday,21.9,62.6,0.0,19.9,W,57
Sunday,17.4,58.9,0.0,19.4,NW,78
Monday,16.5,69.6,1.7,23.2,S,69
Tuesday,18.2,72.3,0.0,35.6,W,83
Wednesday,17.8,70.9,0.0,17.7,NE,84
Thursday,22.6,63.3,3.8,34.5,N,82
Friday,20.0,61.9,3.1,14.5,SW,52
Saturday,16.1,64.1,0.0,13.6,SE,42
Sunday,18.6,66.8,0.0,22.9,NE,78
Monday,17.1,49.9,0.0,18.6,W,82
Tuesday,20.9,49.3,0.0,32.0,W,91
Wednesday,18.8,66.2,0.0,28.5,SW,98
Thursday,16.8,60.6,0.0,30.5,SW,94
Friday,15.8,69.2,6.8,14.7,NW,55
Saturday,22.7,54.0,0.0,10.6,N,61
Sunday,23.8,49.1,0.0,21.8,W,82
Monday,23.2,70.4,0.8,18.9,SW,87
Tuesday,16.1,72.9,0.0,25.3,S,110
Wednesday,18.2,58.7,0.0,23.8,N,62
Thursday,18.7,64.7,0.0,18.2,NW,64
Friday,20.9,72.2,0.0,19.3,NE,44
Saturday,18.6,61.5,0.0,17.6,S,47
Sunday,26.0,80.6,8.2,6.9,S,59
Monday,20.7,88.8,10.9,9.0,NE,57
Tuesday,23.2,83.8,23.6,21.9,NE,70
Wednesday,17.9,71.0,12.9,10.3,SE,49
Thursday,27.5,74.2,11.4,7.8,S,30
Friday,22.9,66.5,0.0,24.0,N,74
Saturday,19.3,67.4,17.6,10.2,S,45
Sunday,22.7,88.1,27.1,14.2,W,64
Monday,26.2,79.2,17.5,22.2,W,66
Tuesday,25.6,69.9,0.0,13.6,SE,53
Wednesday,18.7,82.4,14.8,12.2,W,43
Thursday,20.5,76.5,0.0,20.6,S,45
Friday,19.4,62.5,0.0,9.7,N,42
Saturday,27.5,82.0,0.0,24.9,NE,56
Sunday,27.0,67.4,0.0,6.5,SE,73
Monday,19.5,74.3,17.4,19.7,E,42
Tuesday,16.3,71.2,13.8,9.9,E,31
Wednesday,24.6,68.5,26.8,6.3,SE,44
Thursday,23.5,78.1,0.0,20.8,W,56
Friday,28.3,66.1,26.2,12.0,NE,30
Saturday,17.3,76.1,7.1,6.6,N,59
Sunday,25.7,75.4,0.0,20.8,E,38
Monday,21.0,64.9,0.0,22.6,W,58
Tuesday,17.2,75.7,23.6,9.8,NW,35
Wednesday,26.9,81.5,0.0,14.6,SW,54
Thursday,24.2,72.2,16.8,13.8,SW,45
Friday,26.8,68.1,8.7,6.6,SE,48
Saturday,24.2,71.9,0.0,14.4,E,43
Sunday,18.4,58.3,0.0,24.1,NW,58
Monday,17.1,69.8,0.0,21.0,S,56
Tuesday,21.3,94.8,30.5,17.9,SW,49
Wednesday,22.7,88.6,0.0,17.4,S,29
Thursday,24.5,67.9,5.0,15.6,E,35
Friday,26.3,73.7,42.2,16.1,NE,48
Saturday,20.9,87.9,27.5,18.7,E,52
Sunday,22.1,84.4,19.4,7.8,E,36
Monday,17.0,84.0,20.2,4.9,NE,55
Tuesday,27.1,65.8,0.0,4.4,S,38
Wednesday,17.8,66.4,0.0,14.6,W,51
Thursday,22.8,62.8,0.0,6.5,SW,56
Friday,18.8,92.7,11.4,8.3,W,51
Saturday,24.6,88.3,0.0,3.2,N,29
Sunday,22.5,60.4,0.0,5.0,W,30
Monday,28.3,88.1,6.5,4.6,S,33
Tuesday,18.8,81.8,32.5,19.3,NE,35
Wednesday,27.0,86.5,0.0,17.0,W,41
Thursday,22.8,98.0,37.7,15.9,SW,52
Friday,22.3,76.4,11.1,18.4,SW,49
Saturday,19.7,67.2,0.0,5.4,SE,57
Sunday,19.3,67.3,37.1,6.4,NW,39
Monday,25.6,78.9,22.6,7.6,SW,32
Tuesday,25.0,79.1,36.4,15.2,W,59
Wednesday,25.9,83.6,7.1,8.4,N,39
Thursday,28.1,78.9,9.1,3.4,E,31
Friday,17.7,97.9,22.1,3.2,N,40
Saturday,25.0,71.4,0.0,10.5,S,47
Sunday,20.8,98.0,23.2,9.0,SW,32
Monday,16.9,81.2,34.6,13.0,W,50
Tuesday,19.4,68.5,10.1,14.5,E,47
Wednesday,17.5,70.2,0.0,10.9,NE,53
Thursday,26.8,80.9,42.8,12.9,SW,42
Friday,21.9,80.5,18.3,8.0,E,50
Saturday,25.9,83.9,0.0,19.0,NE,57
Sunday,25.7,69.9,0.0,4.8,NW,41
Monday,22.2,87.9,0.0,14.5,W,55
Tuesday,21.5,69.7,0.0,3.6,N,54
Wednesday,18.9,70.5,8.8,11.8,NW,51
Thursday,19.2,94.5,15.9,15.9,W,64
Friday,24.4,81.9,34.3,8.8,W,50
Saturday,19.2,61.7,0.0,15.1,N,42
Sunday,25.5,86.8,0.0,12.0,N,61
Monday,17.1,73.9,10.6,19.1,SE,52
Tuesday,24.1,88.9,35.1,13.1,SE,32
Wednesday,24.2,71.1,0.0,10.3,S,53
Thursday,23.6,65.1,0.0,19.8,SW,44
Friday,25.2,70.5,30.3,12.6,W,57
Saturday,24.6,76.0,10.3,13.2,W,47
Sunday,22.1,73.2,0.0,3.7,E,40
Monday,16.8,83.0,34.0,16.0,W,32
Tuesday,26.4,95.4,28.9,6.2,NE,60
Wednesday,17.6,63.7,0.0,12.9,SW,58
Thursday,18.8,65.4,0.0,19.4,NE,51
Friday,25.3,96.2,21.3,3.8,S,53
Saturday,23.8,93.9,31.5,15.8,S,62
Sunday,18.3,80.4,3.4,5.6,S,56
Monday,16.7,90.1,20.7,14.4,S,56
Tuesday,26.3,75.2,16.6,4.6,N,45
Wednesday,19.9,69.9,20.2,10.4,NW,51
Thursday,18.0,73.8,0.0,16.4,SE,47
Friday,19.8,74.2,0.0,15.2,SW,64
Saturday,16.9,90.5,24.5,17.6,SW,47
Sunday,24.2,56.3,0.0,21.0,S,46
Monday,25.5,53.4,0.0,11.9,S,42
Tuesday,25.1,63.3,0.0,24.0,E,65
Wednesday,23.7,69.2,0.0,20.6,SW,80
Thursday,25.5,70.1,0.0,11.5,NW,82
Friday,19.3,52.0,0.0,6.0,W,39
Saturday,28.4,66.3,0.0,22.1,S,42
Sunday,27.3,61.1,0.0,26.3,SE,51
Monday,20.0,61.2,0.0,17.4,S,78
Tuesday,26.9,67.5,0.0,8.4,NE,41
Wednesday,22.0,70.8,0.0,11.8,E,61
Thursday,28.6,49.3,0.0,17.0,NW,53
Friday,20.2,54.3,0.0,6.0,E,44
Saturday,27.6,71.2,0.0,18.3,W,39
Sunday,24.6,69.9,0.0,12.6,S,75
Monday,28.6,71.6,5.0,27.3,SE,76
Tuesday,22.4,53.5,0.0,6.2,SW,75
Wednesday,24.6,66.0,0.0,13.6,SW,62
Thursday,28.0,61.5,0.0,26.6,NW,117
Friday,20.7,58.6,0.0,11.5,SE,62
Saturday,28.6,57.5,0.0,6.3,NE,59
Sunday,21.8,66.9,0.0,8.4,NE,81
Monday,25.2,62.6,0.0,12.2,NE,48
Tuesday,27.9,48.6,0.0,11.9,W,42
Wednesday,23.5,53.7,0.0,22.1,E,70
Thursday,23.0,57.5,0.0,7.6,S,69
Friday,27.5,58.4,0.0,19.7,S,82
Saturday,23.4,56.1,0.0,8.1,E,40
Sunday,27.5,60.8,0.0,22.6,NE,61
Monday,28.2,65.1,0.0,6.5,S,57
Tuesday,25.2,63.1,0.0,11.5,N,83
Wednesday,21.2,48.3,0.0,7.5,SE,61
Thursday,26.7,68.1,0.0,17.1,SW,48
Friday,28.3,63.3,0.0,17.1,S,80
Saturday,29.4,52.4,0.0,11.5,NE,47
Sunday,21.4,66.8,0.0,13.2,NW,45
Monday,19.5,61.2,0.0,6.8,E,65
Tuesday,20.0,68.7,0.0,16.0,NW,67
Wednesday,29.0,59.5,6.0,10.9,NW,50
Thursday,26.1,68.8,3.5,20.3,E,49
Friday,28.6,59.2,0.0,7.5,S,81
Saturday,24.8,54.7,5.4,13.6,SE,69
Sunday,24.5,56.9,0.0,6.5,SE,74
Monday,27.4,68.7,0.0,8.2,SE,58
Tuesday,23.6,63.7,1.6,19.4,NW,63
Wednesday,27.1,61.8,0.0,7.1,NW,45
Thursday,27.8,59.0,0.0,7.7,NE,69
Friday,21.4,61.7,0.0,5.4,SW,85
Saturday,23.2,47.6,0.0,7.4,SE,62
Sunday,21.4,46.6,0.0,11.9,SW,74
Monday,24.1,53.2,0.0,20.0,E,84
Tuesday,20.2,63.3,0.0,17.1,W,68
Wednesday,21.8,68.7,0.0,22.2,NW,50
Thursday,19.4,46.0,0.0,5.4,W,76
Friday,24.8,47.3,0.0,25.0,N,65
Saturday,19.8,67.2,5.2,7.0,N,76
Sunday,27.5,63.3,0.0,17.5,N,70
Monday,24.7,60.6,0.0,5.7,NW,53
Tuesday,17.6,54.5,0.0,21.3,W,71
Wednesday,27.5,65.1,2.7,24.4,S,69
Thursday,24.2,50.9,0.0,8.2,SW,53
Friday,23.0,59.5,0.0,23.8,SW,71
Saturday,29.6,66.8,10.0,10.4,E,93
Sunday,24.4,51.5,0.0,21.8,NW,68
Monday,21.3,45.2,7.9,19.1,NE,54
Tuesday,22.0,62.6,3.2,21.9,NW,81
Wednesday,23.2,57.9,0.4,26.4,NW,80
Thursday,28.7,54.3,3.1,17.4,W,94
Friday,27.2,51.4,0.0,11.9,W,93
Saturday,28.0,71.8,9.6,9.3,S,91
Sunday,20.2,54.7,8.2,5.5,NE,83
Monday,22.6,63.9,0.0,5.2,NE,69
Tuesday,24.4,71.1,0.0,13.0,NE,58
Wednesday,29.3,57.1,0.0,22.4,N,42
Thursday,20.0,58.7,0.0,24.2,SE,54
Friday,30.0,61.6,0.0,19.6,NW,76
Saturday,23.1,64.9,1.2,10.1,SE,40
Sunday,30.1,45.0,0.0,26.8,S,118
Monday,26.3,50.7,0.0,21.4,NW,93
Tuesday,26.4,64.5,5.1,20.2,E,64
Wednesday,19.2,50.9,0.0,20.0,NE,54
Thursday,23.1,55.0,1.0,11.1,NE,44
Friday,19.0,52.6,7.9,27.4,W,70
Saturday,18.5,66.3,4.1,16.0,W,62
Sunday,20.7,47.4,0.0,13.1,E,62
Monday,31.2,52.7,0.0,20.5,SE,45
Tuesday,21.4,59.0,0.0,9.7,S,81
Wednesday,25.6,47.1,0.0,13.2,SW,54
Thursday,27.5,62.0,0.0,24.8,N,67
Friday,24.2,51.2,0.0,20.9,NE,49
Saturday,21.9,76.6,16.5,12.3,NE,40
Sunday,27.6,71.3,0.0,10.3,N,39
Monday,25.7,82.5,16.1,13.0,E,64
Tuesday,21.7,71.4,6.5,14.4,S,56
Wednesday,20.2,68.6,11.7,11.5,N,38
Thursday,19.6,78.1,28.6,17.5,NW,63
Friday,21.9,77.9,21.0,5.0,NW,43
Saturday,19.8,97.9,38.4,14.6,S,48
Sunday,22.5,82.2,0.0,8.2,NW,52
Monday,23.1,60.2,0.0,5.3,SW,48
Tuesday,21.1,62.4,0.0,4.7,S,61
Wednesday,21.4,68.4,0.0,11.4,E,36
Thursday,27.5,72.0,29.9,11.1,NW,34
Friday,21.6,73.3,23.1,11.0,E,69
Saturday,25.9,61.5,0.0,14.6,SE,39
Sunday,19.8,61.0,9.7,4.1,N,54
Monday,25.3,79.1,0.0,4.0,E,39
Tuesday,27.2,77.6,0.0,9.5,E,48
Wednesday,24.7,81.1,0.0,13.6,SW,66
Thursday,21.9,79.2,17.4,15.4,S,51
Friday,27.8,79.0,0.0,6.0,NE,50
Saturday,25.3,90.5,29.8,15.0,NW,58
Sunday,26.5,69.7,0.0,12.1,N,34
Monday,22.6,82.3,38.5,9.7,S,47
Tuesday,19.1,72.4,0.0,15.7,N,61
Wednesday,26.9,68.5,26.8,14.5,S,32
Thursday,19.2,98.0,26.7,11.6,E,59
Friday,26.2,96.0,24.5,7.6,W,48
Saturday,25.4,84.9,0.0,14.6,SE,44
Sunday,18.1,89.6,15.8,3.8,NE,47
Monday,16.9,93.2,36.4,8.4,N,66
Tuesday,27.2,73.4,0.0,11.2,NW,37
Wednesday,24.9,92.2,0.0,8.6,N,37
Thursday,17.4,98.0,42.7,10.5,NE,45
Friday,19.6,77.8,15.4,10.4,E,42
Saturday,21.8,75.4,0.0,11.3,SE,60
Sunday,21.2,84.9,0.0,9.4,E,33
Monday,24.9,87.4,7.3,6.5,S,62
Tuesday,21.6,95.9,47.7,6.3,NW,51
Wednesday,24.3,78.4,7.7,10.6,SW,34
Thursday,22.7,90.6,37.2,13.9,NW,47
Friday,24.6,93.0,6.9,10.4,W,27
Saturday,27.1,98.0,14.7,13.4,NW,40
Sunday,29.1,98.0,16.9,9.4,NE,37
Monday,18.6,81.2,0.0,6.7,E,45
Tuesday,24.3,71.1,0.0,11.9,SE,49
Wednesday,20.2,72.7,0.0,5.2,N,26
Thursday,20.2,89.1,0.0,6.1,SE,43
Friday,23.3,94.1,31.4,3.6,S,45
Saturday,20.5,84.5,27.3,10.9,SW,25
Sunday,24.1,98.0,51.7,3.1,SE,40
Monday,24.3,71.3,0.0,3.0,NW,51
Tuesday,22.7,71.0,0.0,6.2,SE,63
Wednesday,26.3,95.2,22.5,7.1,SW,27
Thursday,24.7,94.6,35.5,11.7,NE,63
Friday,22.2,98.0,13.9,2.1,NW,64
Saturday,25.0,92.8,0.0,5.8,SW,25
Sunday,16.5,98.0,13.7,12.7,SE,54
Monday,25.2,87.4,19.6,14.8,SE,46
Tuesday,24.0,79.9,0.0,11.6,SW,52
Wednesday,20.1,93.7,38.9,13.4,SW,61
Thursday,19.3,89.3,8.2,16.6,NE,56
Friday,23.7,79.3,0.0,6.7,S,39
Saturday,21.3,93.3,19.2,8.9,SE,62
Sunday,20.5,73.7,0.0,17.1,E,34
Monday,27.7,84.2,36.4,4.0,NE,45
Tuesday,16.7,93.5,28.7,14.1,SE,49
Wednesday,19.1,90.5,0.0,6.5,W,57
Thursday,22.4,75.8,16.4,14.1,S,46
Friday,15.5,79.7,20.5,12.6,W,40
Saturday,16.8,70.5,6.9,3.2,NW,32
Sunday,17.5,89.1,32.2,8.7,N,42
Monday,25.4,69.5,0.0,10.7,SE,44
Tuesday,24.0,85.4,42.7,12.8,W,44
Wednesday,25.1,82.3,28.1,16.5,SE,39
Thursday,21.8,98.0,31.2,15.3,E,32
Friday,24.0,96.9,14.0,12.4,S,36
Saturday,21.8,85.7,26.6,4.1,S,37
Sunday,21.5,81.7,0.0,13.5,NW,63
Monday,26.4,80.7,37.7,8.3,SE,59
Tuesday,22.2,75.5,24.1,15.8,N,54
Wednesday,24.6,79.0,0.0,10.0,W,52
Thursday,16.4,88.4,0.0,5.2,NE,32
Friday,21.8,71.1,0.0,16.5,W,38
Saturday,22.3,69.8,3.8,6.5,SW,43
Sunday,17.5,89.5,17.1,11.1,S,38
Monday,19.4,70.8,44.3,10.9,NE,35
Tuesday,25.5,77.8,0.0,10.2,N,35
Wednesday,25.0,90.1,0.0,9.9,NW,60
Thursday,18.7,76.3,0.0,4.9,S,48
Friday,21.7,88.0,35.2,13.3,E,60
Saturday,25.3,93.3,30.7,4.7,S,52
Sunday,22.6,59.3,4.6,24.8,N,39
Monday,26.1,59.8,7.6,24.0,NE,83
Tuesday,16.9,69.5,5.7,16.0,SW,71
Wednesday,18.2,61.0,0.0,24.6,S,75
Thursday,23.1,52.9,0.0,29.2,SE,93
Friday,18.6,66.1,0.0,21.6,N,59
Saturday,20.9,51.4,0.0,24.5,S,81
Sunday,24.8,83.2,11.6,15.7,W,51
Monday,18.8,67.2,0.0,18.8,NW,72
Tuesday,18.1,57.0,2.3,12.3,W,61
Wednesday,21.7,55.5,0.0,17.3,NE,79
Thursday,19.5,64.3,0.0,31.2,E,91
Friday,16.2,66.6,0.0,16.1,N,59
Saturday,16.2,51.5,0.0,25.4,S,104
Sunday,23.0,70.1,0.0,29.5,SW,83
Monday,15.5,62.8,0.0,34.6,N,54
Tuesday,22.3,73.5,0.0,24.1,NW,60
Wednesday,19.1,72.3,0.0,24.3,E,69
Thursday,14.3,60.6,0.0,27.5,S,72
Friday,25.4,55.1,0.0,8.1,NW,37
Saturday,23.2,65.9,0.0,34.4,SE,57
Sunday,21.1,59.8,0.0,26.0,NE,102
Monday,21.7,71.8,0.0,23.1,S,75
Tuesday,19.0,56.3,0.0,13.6,SW,50
Wednesday,22.2,62.5,0.0,23.8,SW,44
Thursday,24.1,66.2,0.0,27.5,NW,93
Friday,19.3,57.8,0.0,22.6,E,80
Saturday,21.3,53.1,0.0,19.7,E,52
Sunday,20.6,67.2,0.0,14.4,S,43
