timestamp,sensor_id,parameter,value,unit,alert_level
19:36:25.329,SENSOR-UV,UV_INDEX,4.07,UV,NORMAL
19:36:25.329,SENSOR-WIND,WIND,34.15,km/h,WARNING
19:36:25.329,SENSOR-HUMID,HUMIDITY,59.99,%,NORMAL
19:36:25.330,SENSOR-RAIN,RAINFALL,18.2,mm,NORMAL
19:36:25.330,SENSOR-AQI,AQI,55.76,AQI,NORMAL
19:36:25.331,SENSOR-SOIL,SOIL_MOIST,18.69,%,CRITICAL
19:36:25.333,SENSOR-HUMID,HUMIDITY,93.09,%,CRITICAL
19:36:25.333,SENSOR-RAIN,RAINFALL,22.44,mm,NORMAL
19:36:25.333,SENSOR-TEMP,TEMP,19.06,C,NOTICE
19:36:25.333,SENSOR-WIND,WIND,63.26,km/h,CRITICAL
19:36:25.333,SENSOR-UV,UV_INDEX,1.12,UV,NORMAL
19:36:25.333,SENSOR-AQI,AQI,60.85,AQI,NORMAL
19:36:25.336,SENSOR-UV,UV_INDEX,10.26,UV,CRITICAL
19:36:25.337,SENSOR-TEMP,TEMP,28.26,C,NORMAL
19:36:25.337,SENSOR-WIND,WIND,49.55,km/h,WARNING
19:36:25.337,SENSOR-RAIN,RAINFALL,30.74,mm,CRITICAL
19:36:25.337,SENSOR-SOIL,SOIL_MOIST,11.64,%,CRITICAL
19:36:25.338,SENSOR-AQI,AQI,120.38,AQI,WARNING
19:36:25.338,SENSOR-HUMID,HUMIDITY,65.0,%,NORMAL
19:36:25.339,SENSOR-UV,UV_INDEX,7.94,UV,WARNING
19:36:25.339,SENSOR-SOIL,SOIL_MOIST,11.7,%,CRITICAL
19:36:25.341,SENSOR-HUMID,HUMIDITY,65.26,%,NORMAL
19:36:25.341,SENSOR-SOIL,SOIL_MOIST,73.49,%,NORMAL
19:36:25.341,SENSOR-TEMP,TEMP,28.69,C,NORMAL
19:36:25.341,SENSOR-AQI,AQI,195.13,AQI,CRITICAL
19:36:25.342,SENSOR-WIND,WIND,23.78,km/h,NORMAL
19:36:25.342,SENSOR-RAIN,RAINFALL,34.68,mm,CRITICAL
19:36:25.344,SENSOR-SOIL,SOIL_MOIST,49.53,%,NORMAL
19:36:25.344,SENSOR-HUMID,HUMIDITY,30.22,%,NORMAL
19:36:25.344,SENSOR-TEMP,TEMP,33.41,C,NORMAL
19:36:25.344,SENSOR-AQI,AQI,166.85,AQI,CRITICAL
19:36:25.344,SENSOR-UV,UV_INDEX,9.8,UV,CRITICAL
19:36:25.345,SENSOR-RAIN,RAINFALL,12.0,mm,NORMAL
19:36:25.346,SENSOR-SOIL,SOIL_MOIST,55.74,%,NORMAL
19:36:25.347,SENSOR-HUMID,HUMIDITY,66.36,%,NORMAL
19:36:25.347,SENSOR-TEMP,TEMP,31.02,C,NORMAL
19:36:25.347,SENSOR-WIND,WIND,44.01,km/h,WARNING
19:36:25.347,SENSOR-AQI,AQI,111.68,AQI,WARNING
19:36:25.348,SENSOR-UV,UV_INDEX,3.77,UV,NORMAL
19:36:25.348,SENSOR-TEMP,TEMP,23.39,C,NORMAL
19:36:25.349,SENSOR-RAIN,RAINFALL,14.44,mm,NORMAL
19:36:25.350,SENSOR-HUMID,HUMIDITY,91.75,%,CRITICAL
19:36:25.350,SENSOR-WIND,WIND,5.26,km/h,NORMAL
19:36:25.350,SENSOR-TEMP,TEMP,27.9,C,NORMAL
19:36:25.351,SENSOR-AQI,AQI,58.48,AQI,NORMAL
19:36:25.351,SENSOR-SOIL,SOIL_MOIST,38.92,%,NORMAL
19:36:25.352,SENSOR-HUMID,HUMIDITY,90.0,%,CRITICAL
19:36:25.352,SENSOR-UV,UV_INDEX,11.5,UV,CRITICAL
19:36:25.353,SENSOR-AQI,AQI,195.98,AQI,CRITICAL
19:36:25.353,SENSOR-WIND,WIND,24.43,km/h,NORMAL
19:36:25.355,SENSOR-TEMP,TEMP,39.56,C,CRITICAL
19:36:25.355,SENSOR-RAIN,RAINFALL,40.54,mm,CRITICAL
19:36:25.356,SENSOR-SOIL,SOIL_MOIST,77.13,%,NORMAL
19:36:25.357,SENSOR-AQI,AQI,114.19,AQI,WARNING
19:36:25.357,SENSOR-WIND,WIND,43.04,km/h,WARNING
19:36:25.357,SENSOR-UV,UV_INDEX,0.38,UV,NORMAL
19:36:25.357,SENSOR-HUMID,HUMIDITY,61.07,%,NORMAL
19:36:25.359,SENSOR-RAIN,RAINFALL,9.8,mm,NORMAL
19:36:25.359,SENSOR-SOIL,SOIL_MOIST,44.14,%,NORMAL
19:36:25.359,SENSOR-TEMP,TEMP,24.7,C,NORMAL
19:36:25.359,SENSOR-UV,UV_INDEX,6.9,UV,WARNING
19:36:25.361,SENSOR-WIND,WIND,4.46,km/h,NORMAL
19:36:25.361,SENSOR-HUMID,HUMIDITY,67.77,%,NORMAL
19:36:25.361,SENSOR-AQI,AQI,37.68,AQI,NORMAL
19:36:25.361,SENSOR-UV,UV_INDEX,1.83,UV,NORMAL
19:36:25.363,SENSOR-WIND,WIND,75.02,km/h,CRITICAL
19:36:25.364,SENSOR-SOIL,SOIL_MOIST,11.82,%,CRITICAL
19:36:25.364,SENSOR-RAIN,RAINFALL,13.52,mm,NORMAL
19:36:25.364,SENSOR-TEMP,TEMP,38.26,C,CRITICAL
19:36:25.364,SENSOR-UV,UV_INDEX,8.64,UV,CRITICAL
19:36:25.364,SENSOR-HUMID,HUMIDITY,52.67,%,NORMAL
19:36:25.365,SENSOR-AQI,AQI,193.87,AQI,CRITICAL
19:36:25.368,SENSOR-SOIL,SOIL_MOIST,75.91,%,NORMAL
19:36:25.368,SENSOR-TEMP,TEMP,33.42,C,NORMAL
19:36:25.368,SENSOR-WIND,WIND,53.88,km/h,CRITICAL
19:36:25.369,SENSOR-UV,UV_INDEX,6.94,UV,WARNING
19:36:25.369,SENSOR-RAIN,RAINFALL,1.34,mm,NORMAL
19:36:25.369,SENSOR-HUMID,HUMIDITY,32.34,%,NORMAL
19:36:25.370,SENSOR-AQI,AQI,122.86,AQI,WARNING
19:36:25.370,SENSOR-TEMP,TEMP,38.04,C,CRITICAL
19:36:25.371,SENSOR-WIND,WIND,18.68,km/h,NORMAL
19:36:25.372,SENSOR-AQI,AQI,148.65,AQI,WARNING
19:36:25.372,SENSOR-SOIL,SOIL_MOIST,17.24,%,CRITICAL
19:36:25.373,SENSOR-TEMP,TEMP,33.63,C,NORMAL
19:36:25.373,SENSOR-HUMID,HUMIDITY,53.64,%,NORMAL
19:36:25.373,SENSOR-UV,UV_INDEX,6.74,UV,WARNING
19:36:25.374,SENSOR-RAIN,RAINFALL,37.34,mm,CRITICAL
19:36:25.376,SENSOR-AQI,AQI,52.29,AQI,NORMAL
19:36:25.376,SENSOR-UV,UV_INDEX,7.43,UV,WARNING
19:36:25.376,SENSOR-SOIL,SOIL_MOIST,73.27,%,NORMAL
19:36:25.376,SENSOR-WIND,WIND,12.03,km/h,NORMAL
19:36:25.377,SENSOR-TEMP,TEMP,38.85,C,CRITICAL
19:36:25.378,SENSOR-HUMID,HUMIDITY,90.68,%,CRITICAL
19:36:25.380,SENSOR-RAIN,RAINFALL,5.49,mm,NORMAL
19:36:25.380,SENSOR-WIND,WIND,17.7,km/h,NORMAL
19:36:25.380,SENSOR-UV,UV_INDEX,8.33,UV,CRITICAL
19:36:25.380,SENSOR-SOIL,SOIL_MOIST,31.84,%,WARNING
19:36:25.380,SENSOR-TEMP,TEMP,33.03,C,NORMAL
19:36:25.380,SENSOR-AQI,AQI,138.55,AQI,WARNING
19:36:25.381,SENSOR-UV,UV_INDEX,1.9,UV,NORMAL
19:36:25.382,SENSOR-WIND,WIND,69.18,km/h,CRITICAL
19:36:25.383,SENSOR-HUMID,HUMIDITY,76.38,%,NORMAL
19:36:25.383,SENSOR-RAIN,RAINFALL,27.69,mm,CRITICAL
19:36:25.384,SENSOR-TEMP,TEMP,22.32,C,NORMAL
19:36:25.384,SENSOR-SOIL,SOIL_MOIST,15.22,%,CRITICAL
19:36:25.384,SENSOR-UV,UV_INDEX,7.23,UV,WARNING
19:36:25.385,SENSOR-AQI,AQI,139.91,AQI,WARNING
19:36:25.386,SENSOR-WIND,WIND,50.0,km/h,WARNING
19:36:25.387,SENSOR-SOIL,SOIL_MOIST,28.33,%,WARNING
19:36:25.387,SENSOR-UV,UV_INDEX,8.75,UV,CRITICAL
19:36:25.387,SENSOR-TEMP,TEMP,39.49,C,CRITICAL
19:36:25.388,SENSOR-AQI,AQI,37.76,AQI,NORMAL
19:36:25.388,SENSOR-RAIN,RAINFALL,1.51,mm,NORMAL
19:36:25.388,SENSOR-HUMID,HUMIDITY,75.83,%,NORMAL
19:36:25.389,SENSOR-UV,UV_INDEX,6.73,UV,WARNING
19:36:25.390,SENSOR-RAIN,RAINFALL,34.14,mm,CRITICAL
19:36:25.390,SENSOR-AQI,AQI,129.37,AQI,WARNING
19:36:25.391,SENSOR-SOIL,SOIL_MOIST,73.93,%,NORMAL
19:36:25.391,SENSOR-TEMP,TEMP,24.7,C,NORMAL
19:36:25.391,SENSOR-WIND,WIND,56.42,km/h,CRITICAL
19:36:25.391,SENSOR-UV,UV_INDEX,3.42,UV,NORMAL
19:36:25.391,SENSOR-HUMID,HUMIDITY,70.01,%,NORMAL
19:36:25.392,SENSOR-AQI,AQI,34.63,AQI,NORMAL
19:36:25.393,SENSOR-SOIL,SOIL_MOIST,23.08,%,WARNING
19:36:25.393,SENSOR-HUMID,HUMIDITY,53.05,%,NORMAL
19:36:25.393,SENSOR-RAIN,RAINFALL,49.36,mm,CRITICAL
19:36:25.394,SENSOR-TEMP,TEMP,35.0,C,CRITICAL
19:36:25.395,SENSOR-WIND,WIND,69.71,km/h,CRITICAL
19:36:25.396,SENSOR-UV,UV_INDEX,3.04,UV,NORMAL
19:36:25.397,SENSOR-RAIN,RAINFALL,45.89,mm,CRITICAL
19:36:25.398,SENSOR-HUMID,HUMIDITY,96.23,%,CRITICAL
19:36:25.398,SENSOR-SOIL,SOIL_MOIST,28.89,%,WARNING
19:36:25.398,SENSOR-AQI,AQI,34.26,AQI,NORMAL
19:36:25.399,SENSOR-TEMP,TEMP,28.09,C,NORMAL
19:36:25.399,SENSOR-RAIN,RAINFALL,4.17,mm,NORMAL
19:36:25.399,SENSOR-UV,UV_INDEX,11.14,UV,CRITICAL
19:36:25.399,SENSOR-WIND,WIND,78.25,km/h,CRITICAL
19:36:25.401,SENSOR-WIND,WIND,29.36,km/h,NORMAL
19:36:25.401,SENSOR-AQI,AQI,96.81,AQI,NORMAL
19:36:25.402,SENSOR-SOIL,SOIL_MOIST,11.76,%,CRITICAL
19:36:25.402,SENSOR-TEMP,TEMP,27.21,C,NORMAL
19:36:25.403,SENSOR-WIND,WIND,55.01,km/h,CRITICAL
19:36:25.403,SENSOR-HUMID,HUMIDITY,90.71,%,CRITICAL
19:36:25.404,SENSOR-AQI,AQI,49.76,AQI,NORMAL
19:36:25.404,SENSOR-TEMP,TEMP,31.56,C,NORMAL
19:36:25.404,SENSOR-UV,UV_INDEX,7.06,UV,WARNING
19:36:25.404,SENSOR-RAIN,RAINFALL,1.7,mm,NORMAL
19:36:25.405,SENSOR-SOIL,SOIL_MOIST,74.37,%,NORMAL
19:36:25.406,SENSOR-WIND,WIND,6.2,km/h,NORMAL
19:36:25.407,SENSOR-AQI,AQI,147.65,AQI,WARNING
19:36:25.407,SENSOR-TEMP,TEMP,38.93,C,CRITICAL
19:36:25.407,SENSOR-UV,UV_INDEX,6.45,UV,WARNING
19:36:25.408,SENSOR-HUMID,HUMIDITY,47.38,%,NORMAL
19:36:25.408,SENSOR-RAIN,RAINFALL,16.38,mm,NORMAL
19:36:25.409,SENSOR-SOIL,SOIL_MOIST,23.23,%,WARNING
19:36:25.409,SENSOR-TEMP,TEMP,24.56,C,NORMAL
19:36:25.410,SENSOR-UV,UV_INDEX,9.76,UV,CRITICAL
19:36:25.410,SENSOR-HUMID,HUMIDITY,95.37,%,CRITICAL
19:36:25.411,SENSOR-HUMID,HUMIDITY,96.04,%,CRITICAL
19:36:25.411,SENSOR-SOIL,SOIL_MOIST,31.87,%,WARNING
19:36:25.411,SENSOR-WIND,WIND,78.5,km/h,CRITICAL
19:36:25.411,SENSOR-AQI,AQI,42.06,AQI,NORMAL
19:36:25.411,SENSOR-TEMP,TEMP,33.25,C,NORMAL
19:36:25.411,SENSOR-RAIN,RAINFALL,37.93,mm,CRITICAL
19:36:25.413,SENSOR-HUMID,HUMIDITY,33.51,%,NORMAL
19:36:25.413,SENSOR-WIND,WIND,21.39,km/h,NORMAL
19:36:25.413,SENSOR-UV,UV_INDEX,9.91,UV,CRITICAL
19:36:25.413,SENSOR-AQI,AQI,92.25,AQI,NORMAL
19:36:25.415,SENSOR-SOIL,SOIL_MOIST,14.25,%,CRITICAL
19:36:25.415,SENSOR-WIND,WIND,55.05,km/h,CRITICAL
19:36:25.415,SENSOR-UV,UV_INDEX,2.29,UV,NORMAL
19:36:25.416,SENSOR-RAIN,RAINFALL,41.18,mm,CRITICAL
19:36:25.416,SENSOR-TEMP,TEMP,33.49,C,NORMAL
19:36:25.417,SENSOR-AQI,AQI,136.23,AQI,WARNING
19:36:25.418,SENSOR-SOIL,SOIL_MOIST,32.84,%,WARNING
19:36:25.418,SENSOR-WIND,WIND,76.5,km/h,CRITICAL
19:36:25.418,SENSOR-HUMID,HUMIDITY,34.05,%,NORMAL
19:36:25.418,SENSOR-UV,UV_INDEX,4.62,UV,NORMAL
19:36:25.420,SENSOR-SOIL,SOIL_MOIST,34.08,%,WARNING
19:36:25.420,SENSOR-HUMID,HUMIDITY,40.29,%,NORMAL
19:36:25.421,SENSOR-AQI,AQI,185.92,AQI,CRITICAL
19:36:25.421,SENSOR-UV,UV_INDEX,3.43,UV,NORMAL
19:36:25.421,SENSOR-RAIN,RAINFALL,28.96,mm,CRITICAL
19:36:25.421,SENSOR-TEMP,TEMP,19.72,C,NOTICE
19:36:25.422,SENSOR-SOIL,SOIL_MOIST,78.1,%,NORMAL
19:36:25.422,SENSOR-HUMID,HUMIDITY,76.2,%,NORMAL
19:36:25.422,SENSOR-WIND,WIND,42.51,km/h,WARNING
19:36:25.423,SENSOR-RAIN,RAINFALL,25.73,mm,CRITICAL
19:36:25.424,SENSOR-UV,UV_INDEX,0.67,UV,NORMAL
19:36:25.424,SENSOR-TEMP,TEMP,23.4,C,NORMAL
19:36:25.424,SENSOR-AQI,AQI,146.4,AQI,WARNING
19:36:25.425,SENSOR-WIND,WIND,2.41,km/h,NORMAL
19:36:25.426,SENSOR-RAIN,RAINFALL,29.52,mm,CRITICAL
19:36:25.426,SENSOR-SOIL,SOIL_MOIST,72.38,%,NORMAL
19:36:25.426,SENSOR-UV,UV_INDEX,5.78,UV,NORMAL
19:36:25.428,SENSOR-HUMID,HUMIDITY,36.51,%,NORMAL
19:36:25.428,SENSOR-AQI,AQI,189.1,AQI,CRITICAL
19:36:25.428,SENSOR-TEMP,TEMP,33.65,C,NORMAL
19:36:25.430,SENSOR-HUMID,HUMIDITY,39.5,%,NORMAL
19:36:25.430,SENSOR-SOIL,SOIL_MOIST,49.96,%,NORMAL
19:36:25.430,SENSOR-RAIN,RAINFALL,47.32,mm,CRITICAL
19:36:25.430,SENSOR-WIND,WIND,36.5,km/h,WARNING
19:36:25.430,SENSOR-UV,UV_INDEX,3.76,UV,NORMAL
19:36:25.432,SENSOR-WIND,WIND,57.1,km/h,CRITICAL
19:36:25.432,SENSOR-TEMP,TEMP,37.53,C,CRITICAL
19:36:25.433,SENSOR-AQI,AQI,93.02,AQI,NORMAL
19:36:25.434,SENSOR-RAIN,RAINFALL,1.78,mm,NORMAL
19:36:25.434,SENSOR-TEMP,TEMP,20.6,C,NORMAL
19:36:25.434,SENSOR-HUMID,HUMIDITY,64.97,%,NORMAL
19:36:25.435,SENSOR-SOIL,SOIL_MOIST,68.74,%,NORMAL
19:36:25.435,SENSOR-UV,UV_INDEX,9.25,UV,CRITICAL
19:36:25.435,SENSOR-AQI,AQI,160.76,AQI,CRITICAL
19:36:25.436,SENSOR-WIND,WIND,68.58,km/h,CRITICAL
19:36:25.437,SENSOR-SOIL,SOIL_MOIST,28.84,%,WARNING
19:36:25.437,SENSOR-HUMID,HUMIDITY,41.9,%,NORMAL
19:36:25.438,SENSOR-UV,UV_INDEX,10.16,UV,CRITICAL
19:36:25.439,SENSOR-TEMP,TEMP,27.35,C,NORMAL
19:36:25.439,SENSOR-RAIN,RAINFALL,1.84,mm,NORMAL
19:36:25.440,SENSOR-HUMID,HUMIDITY,43.94,%,NORMAL
19:36:25.441,SENSOR-AQI,AQI,25.87,AQI,NORMAL
19:36:25.441,SENSOR-WIND,WIND,75.53,km/h,CRITICAL
19:36:25.441,SENSOR-UV,UV_INDEX,10.96,UV,CRITICAL
19:36:25.441,SENSOR-TEMP,TEMP,27.94,C,NORMAL
19:36:25.442,SENSOR-SOIL,SOIL_MOIST,11.08,%,CRITICAL
19:36:25.443,SENSOR-RAIN,RAINFALL,14.82,mm,NORMAL
19:36:25.444,SENSOR-AQI,AQI,170.86,AQI,CRITICAL
19:36:25.444,SENSOR-HUMID,HUMIDITY,49.67,%,NORMAL
19:36:25.444,SENSOR-SOIL,SOIL_MOIST,58.76,%,NORMAL
19:36:25.445,SENSOR-TEMP,TEMP,33.49,C,NORMAL
19:36:25.446,SENSOR-UV,UV_INDEX,3.72,UV,NORMAL
19:36:25.446,SENSOR-WIND,WIND,56.75,km/h,CRITICAL
19:36:25.447,SENSOR-HUMID,HUMIDITY,51.75,%,NORMAL
19:36:25.447,SENSOR-RAIN,RAINFALL,8.37,mm,NORMAL
19:36:25.448,SENSOR-UV,UV_INDEX,11.53,UV,CRITICAL
19:36:25.448,SENSOR-WIND,WIND,15.67,km/h,NORMAL
19:36:25.449,SENSOR-SOIL,SOIL_MOIST,15.35,%,CRITICAL
19:36:25.449,SENSOR-AQI,AQI,20.92,AQI,NORMAL
19:36:25.449,SENSOR-HUMID,HUMIDITY,87.98,%,CRITICAL
19:36:25.450,SENSOR-UV,UV_INDEX,4.33,UV,NORMAL
19:36:25.450,SENSOR-RAIN,RAINFALL,17.71,mm,NORMAL
19:36:25.450,SENSOR-TEMP,TEMP,30.02,C,NORMAL
19:36:25.451,SENSOR-UV,UV_INDEX,10.47,UV,CRITICAL
19:36:25.451,SENSOR-RAIN,RAINFALL,40.17,mm,CRITICAL
19:36:25.451,SENSOR-HUMID,HUMIDITY,93.8,%,CRITICAL
19:36:25.451,SENSOR-AQI,AQI,138.17,AQI,WARNING
19:36:25.453,SENSOR-TEMP,TEMP,35.77,C,CRITICAL
19:36:25.453,SENSOR-AQI,AQI,127.98,AQI,WARNING
19:36:25.453,SENSOR-WIND,WIND,37.34,km/h,WARNING
19:36:25.455,SENSOR-TEMP,TEMP,38.0,C,CRITICAL
19:36:25.455,SENSOR-HUMID,HUMIDITY,88.02,%,CRITICAL
19:36:25.455,SENSOR-SOIL,SOIL_MOIST,49.77,%,NORMAL
19:36:25.456,SENSOR-RAIN,RAINFALL,19.82,mm,NORMAL
19:36:25.456,SENSOR-UV,UV_INDEX,4.4,UV,NORMAL
19:36:25.457,SENSOR-AQI,AQI,53.45,AQI,NORMAL
19:36:25.458,SENSOR-WIND,WIND,68.4,km/h,CRITICAL
19:36:25.458,SENSOR-TEMP,TEMP,20.16,C,NORMAL
19:36:25.459,SENSOR-AQI,AQI,39.77,AQI,NORMAL
19:36:25.460,SENSOR-SOIL,SOIL_MOIST,60.69,%,NORMAL
19:36:25.460,SENSOR-HUMID,HUMIDITY,37.96,%,NORMAL
19:36:25.461,SENSOR-WIND,WIND,72.69,km/h,CRITICAL
19:36:25.461,SENSOR-AQI,AQI,150.96,AQI,CRITICAL
19:36:25.461,SENSOR-UV,UV_INDEX,2.28,UV,NORMAL
19:36:25.461,SENSOR-RAIN,RAINFALL,43.86,mm,CRITICAL
19:36:25.461,SENSOR-TEMP,TEMP,21.03,C,NORMAL
19:36:25.462,SENSOR-HUMID,HUMIDITY,62.25,%,NORMAL
19:36:25.463,SENSOR-TEMP,TEMP,19.45,C,NOTICE
19:36:25.463,SENSOR-RAIN,RAINFALL,40.93,mm,CRITICAL
19:36:25.464,SENSOR-UV,UV_INDEX,0.23,UV,NORMAL
19:36:25.464,SENSOR-SOIL,SOIL_MOIST,66.06,%,NORMAL
19:36:25.465,SENSOR-RAIN,RAINFALL,47.41,mm,CRITICAL
19:36:25.466,SENSOR-HUMID,HUMIDITY,46.88,%,NORMAL
19:36:25.466,SENSOR-WIND,WIND,53.12,km/h,CRITICAL
19:36:25.466,SENSOR-AQI,AQI,26.95,AQI,NORMAL
19:36:25.468,SENSOR-HUMID,HUMIDITY,52.35,%,NORMAL
19:36:25.468,SENSOR-SOIL,SOIL_MOIST,66.61,%,NORMAL
19:36:25.469,SENSOR-UV,UV_INDEX,10.16,UV,CRITICAL
19:36:25.469,SENSOR-RAIN,RAINFALL,4.99,mm,NORMAL
19:36:25.469,SENSOR-TEMP,TEMP,21.64,C,NORMAL
19:36:25.470,SENSOR-WIND,WIND,24.77,km/h,NORMAL
19:36:25.471,SENSOR-HUMID,HUMIDITY,47.54,%,NORMAL
19:36:25.471,SENSOR-AQI,AQI,83.75,AQI,NORMAL
19:36:25.472,SENSOR-WIND,WIND,13.31,km/h,NORMAL
19:36:25.472,SENSOR-UV,UV_INDEX,3.86,UV,NORMAL
19:36:25.472,SENSOR-SOIL,SOIL_MOIST,64.76,%,NORMAL
19:36:25.472,SENSOR-AQI,AQI,171.76,AQI,CRITICAL
19:36:25.474,SENSOR-HUMID,HUMIDITY,69.49,%,NORMAL
19:36:25.474,SENSOR-RAIN,RAINFALL,37.79,mm,CRITICAL
19:36:25.474,SENSOR-TEMP,TEMP,18.52,C,NOTICE
19:36:25.476,SENSOR-SOIL,SOIL_MOIST,57.48,%,NORMAL
19:36:25.476,SENSOR-RAIN,RAINFALL,15.14,mm,NORMAL
19:36:25.476,SENSOR-AQI,AQI,139.08,AQI,WARNING
19:36:25.477,SENSOR-TEMP,TEMP,22.81,C,NORMAL
19:36:25.477,SENSOR-UV,UV_INDEX,3.16,UV,NORMAL
19:36:25.477,SENSOR-WIND,WIND,74.75,km/h,CRITICAL
19:36:25.479,SENSOR-SOIL,SOIL_MOIST,18.74,%,CRITICAL
19:36:25.479,SENSOR-UV,UV_INDEX,10.6,UV,CRITICAL
19:36:25.479,SENSOR-RAIN,RAINFALL,5.45,mm,NORMAL
19:36:25.479,SENSOR-HUMID,HUMIDITY,42.91,%,NORMAL
19:36:25.481,SENSOR-UV,UV_INDEX,2.97,UV,NORMAL
19:36:25.481,SENSOR-TEMP,TEMP,21.87,C,NORMAL
19:36:25.481,SENSOR-WIND,WIND,52.96,km/h,CRITICAL
19:36:25.481,SENSOR-AQI,AQI,54.6,AQI,NORMAL
19:36:25.484,SENSOR-AQI,AQI,110.23,AQI,WARNING
19:36:25.484,SENSOR-SOIL,SOIL_MOIST,57.65,%,NORMAL
19:36:25.484,SENSOR-RAIN,RAINFALL,37.7,mm,CRITICAL
19:36:25.484,SENSOR-HUMID,HUMIDITY,84.91,%,NORMAL
19:36:25.484,SENSOR-WIND,WIND,41.38,km/h,WARNING
19:36:25.484,SENSOR-UV,UV_INDEX,0.39,UV,NORMAL
19:36:25.484,SENSOR-TEMP,TEMP,35.43,C,CRITICAL
19:36:25.487,SENSOR-TEMP,TEMP,37.9,C,CRITICAL
19:36:25.487,SENSOR-RAIN,RAINFALL,0.34,mm,NORMAL
19:36:25.487,SENSOR-UV,UV_INDEX,7.04,UV,WARNING
19:36:25.488,SENSOR-AQI,AQI,104.2,AQI,WARNING
19:36:25.488,SENSOR-WIND,WIND,8.74,km/h,NORMAL
19:36:25.489,SENSOR-SOIL,SOIL_MOIST,13.18,%,CRITICAL
19:36:25.489,SENSOR-HUMID,HUMIDITY,37.67,%,NORMAL
19:36:25.490,SENSOR-UV,UV_INDEX,2.85,UV,NORMAL
19:36:25.490,SENSOR-RAIN,RAINFALL,21.71,mm,NORMAL
19:36:25.492,SENSOR-HUMID,HUMIDITY,67.66,%,NORMAL
19:36:25.492,SENSOR-AQI,AQI,130.77,AQI,WARNING
19:36:25.492,SENSOR-TEMP,TEMP,39.14,C,CRITICAL
19:36:25.493,SENSOR-SOIL,SOIL_MOIST,17.29,%,CRITICAL
19:36:25.493,SENSOR-WIND,WIND,39.11,km/h,WARNING
19:36:25.494,SENSOR-TEMP,TEMP,30.11,C,NORMAL
19:36:25.494,SENSOR-UV,UV_INDEX,2.17,UV,NORMAL
19:36:25.494,SENSOR-AQI,AQI,93.72,AQI,NORMAL
19:36:25.495,SENSOR-RAIN,RAINFALL,43.87,mm,CRITICAL
19:36:25.496,SENSOR-UV,UV_INDEX,9.27,UV,CRITICAL
19:36:25.497,SENSOR-HUMID,HUMIDITY,48.7,%,NORMAL
19:36:25.498,SENSOR-SOIL,SOIL_MOIST,70.7,%,NORMAL
19:36:25.498,SENSOR-TEMP,TEMP,41.17,C,CRITICAL
19:36:25.498,SENSOR-WIND,WIND,43.81,km/h,WARNING
19:36:25.499,SENSOR-HUMID,HUMIDITY,56.35,%,NORMAL
19:36:25.499,SENSOR-SOIL,SOIL_MOIST,19.92,%,CRITICAL
19:36:25.499,SENSOR-RAIN,RAINFALL,38.66,mm,CRITICAL
19:36:25.499,SENSOR-WIND,WIND,19.64,km/h,NORMAL
