date,day_name,month,month_num,year,season,hour,temperature,humidity,rainfall,wind_speed,wind_direction,aqi,heat_index,evapotranspiration,dew_point,water_deficit,alert_level,overall_status,latitude,longitude,station_id,location,source
2024-01-11,Thursday,January,1,2024,Dry (Dec-Feb),12,25.3,64.9,0.0,18.9,N,64,22.61,0.59,36.71,5.0,NORMAL,NORMAL,-1.0896,37.0105,KE-NBI-001,JKUAT Main Farm, Juja,Generated (offline fallback)
2024-01-12,Friday,January,1,2024,Dry (Dec-Feb),12,16.8,56.5,3.7,10.3,SE,87,13.94,0.52,26.04,1.3,WARNING,WARNING,-1.0896,37.0105,KE-NBI-001,JKUAT Main Farm, Juja,Generated (offline fallback)
2024-01-13,Saturday,January,1,2024,Dry (Dec-Feb),12,23.1,54.9,0.0,10.7,S,43,20.21,0.63,32.53,5.0,NORMAL,NORMAL,-1.0896,37.0105,KE-NBI-001,JKUAT Main Farm, Juja,Generated (offline fallback)
2024-01-14,Sunday,January,1,2024,Dry (Dec-Feb),12,28.3,69.5,0.0,8.6,NW,61,25.7,0.59,40.84,5.0,NORMAL,NORMAL,-1.0896,37.0105,KE-NBI-001,JKUAT Main Farm, Juja,Generated (offline fallback)
2024-01-15,Monday,January,1,2024,Dry (Dec-Feb),12,20.5,54.9,0.0,22.7,NW,80,17.61,0.59,29.73,5.0,NORMAL,NORMAL,-1.0896,37.0105,KE-NBI-001,JKUAT Main Farm, Juja,Generated (offline fallback)
2024-01-16,Tuesday,January,1,2024,Dry (Dec-Feb),12,19.2,52.4,0.0,18.2,E,54,16.26,0.59,27.91,5.0,WARNING,WARNING,-1.0896,37.0105,KE-NBI-001,JKUAT Main Farm, Juja,Generated (offline fallback)
2024-01-17,Wednesday,January,1,2024,Dry (Dec-Feb),12,30.2,45.2,0.0,5.3,E,81,27.11,0.82,38.34,5.0,NORMAL,NORMAL,-1.0896,37.0105,KE-NBI-001,JKUAT Main Farm, Juja,Generated (offline fallback)
2024-01-18,Thursday,January,1,2024,Dry (Dec-Feb),12,24.8,66.7,0.0,14.6,E,69,22.14,0.57,36.49,5.0,NORMAL,NORMAL,-1.0896,37.0105,KE-NBI-001,JKUAT Main Farm, Juja,Generated (offline fallback)
2024-01-19,Friday,January,1,2024,Dry (Dec-Feb),12,30.0,59.8,0.0,7.9,N,88,27.2,0.7,40.86,5.0,NORMAL,NORMAL,-1.0896,37.0105,KE-NBI-001,JKUAT Main Farm, Juja,Generated (offline fallback)
2024-01-20,Saturday,January,1,2024,Dry (Dec-Feb),12,21.6,55.9,0.0,23.9,NW,72,18.73,0.6,31.09,5.0,NORMAL,NORMAL,-1.0896,37.0105,KE-NBI-001,JKUAT Main Farm, Juja,Generated (offline fallback)
2024-01-21,Sunday,January,1,2024,Dry (Dec-Feb),12,25.2,69.9,0.0,24.4,S,77,22.61,0.54,37.52,5.0,NORMAL,NORMAL,-1.0896,37.0105,KE-NBI-001,JKUAT Main Farm, Juja,Generated (offline fallback)
2024-01-22,Monday,January,1,2024,Dry (Dec-Feb),12,24.9,66.4,0.0,20.4,SW,83,22.24,0.57,36.55,5.0,NORMAL,NORMAL,-1.0896,37.0105,KE-NBI-001,JKUAT Main Farm, Juja,Generated (offline fallback)
2024-01-23,Tuesday,January,1,2024,Dry (Dec-Feb),12,26.0,55.8,0.0,20.3,SW,82,23.12,0.67,35.8,5.0,NORMAL,NORMAL,-1.0896,37.0105,KE-NBI-001,JKUAT Main Farm, Juja,Generated (offline fallback)
2024-01-24,Wednesday,January,1,2024,Dry (Dec-Feb),12,30.2,51.1,0.0,5.8,NE,47,27.23,0.77,39.44,5.0,NORMAL,NORMAL,-1.0896,37.0105,KE-NBI-001,JKUAT Main Farm, Juja,Generated (offline fallback)
2024-01-25,Thursday,January,1,2024,Dry (Dec-Feb),12,24.9,67.6,0.0,17.6,SE,45,22.26,0.56,36.77,5.0,NORMAL,NORMAL,-1.0896,37.0105,KE-NBI-001,JKUAT Main Farm, Juja,Generated (offline fallback)
2024-01-26,Friday,January,1,2024,Dry (Dec-Feb),12,17.7,56.4,0.0,8.7,SW,82,14.84,0.54,26.99,5.0,WARNING,WARNING,-1.0896,37.0105,KE-NBI-001,JKUAT Main Farm, Juja,Generated (offline fallback)
2024-01-27,Saturday,January,1,2024,Dry (Dec-Feb),12,22.0,69.2,0.0,12.5,N,68,19.39,0.51,33.89,5.0,NORMAL,NORMAL,-1.0896,37.0105,KE-NBI-001,JKUAT Main Farm, Juja,Generated (offline fallback)
2024-01-28,Sunday,January,1,2024,Dry (Dec-Feb),12,23.7,69.2,0.0,6.1,E,79,21.09,0.53,35.75,5.0,NORMAL,NORMAL,-1.0896,37.0105,KE-NBI-001,JKUAT Main Farm, Juja,Generated (offline fallback)
2024-01-29,Monday,January,1,2024,Dry (Dec-Feb),12,19.6,52.3,0.0,11.6,SW,46,16.65,0.59,28.32,5.0,WARNING,WARNING,-1.0896,37.0105,KE-NBI-001,JKUAT Main Farm, Juja,Generated (offline fallback)
2024-01-30,Tuesday,January,1,2024,Dry (Dec-Feb),12,23.3,50.4,0.0,21.5,E,69,20.32,0.67,31.94,5.0,NORMAL,NORMAL,-1.0896,37.0105,KE-NBI-001,JKUAT Main Farm, Juja,Generated (offline fallback)
2024-01-31,Wednesday,January,1,2024,Dry (Dec-Feb),12,28.5,58.6,0.0,16.8,E,85,25.68,0.69,39.02,5.0,NORMAL,NORMAL,-1.0896,37.0105,KE-NBI-001,JKUAT Main Farm, Juja,Generated (offline fallback)
2024-02-01,Thursday,February,2,2024,Dry (Dec-Feb),12,26.1,62.3,0.0,27.9,N,107,23.36,0.62,37.1,5.0,WARNING,WARNING,-1.0896,37.0105,KE-NBI-001,JKUAT Main Farm, Juja,Generated (offline fallback)
2024-02-02,Friday,February,2,2024,Dry (Dec-Feb),12,25.4,49.7,0.0,16.4,SW,65,22.4,0.7,34.06,5.0,NORMAL,NORMAL,-1.0896,37.0105,KE-NBI-001,JKUAT Main Farm, Juja,Generated (offline fallback)
2024-02-03,Saturday,February,2,2024,Dry (Dec-Feb),12,30.8,59.9,0.0,22.6,S,52,28.01,0.71,41.75,5.0,NORMAL,NORMAL,-1.0896,37.0105,KE-NBI-001,JKUAT Main Farm, Juja,Generated (offline fallback)
2024-02-04,Sunday,February,2,2024,Dry (Dec-Feb),12,19.1,54.2,0.0,5.9,W,52,16.19,0.57,28.11,5.0,WARNING,WARNING,-1.0896,37.0105,KE-NBI-001,JKUAT Main Farm, Juja,Generated (offline fallback)
2024-02-05,Monday,February,2,2024,Dry (Dec-Feb),12,25.5,62.3,0.0,18.0,S,42,22.76,0.61,36.45,5.0,NORMAL,NORMAL,-1.0896,37.0105,KE-NBI-001,JKUAT Main Farm, Juja,Generated (offline fallback)
2024-02-06,Tuesday,February,2,2024,Dry (Dec-Feb),12,27.4,57.3,3.9,11.2,SE,60,24.55,0.68,37.59,1.1,NORMAL,NORMAL,-1.0896,37.0105,KE-NBI-001,JKUAT Main Farm, Juja,Generated (offline fallback)
2024-02-07,Wednesday,February,2,2024,Dry (Dec-Feb),12,23.1,49.3,0.0,11.0,S,65,20.09,0.67,31.53,5.0,NORMAL,NORMAL,-1.0896,37.0105,KE-NBI-001,JKUAT Main Farm, Juja,Generated (offline fallback)
2024-02-08,Thursday,February,2,2024,Dry (Dec-Feb),12,27.6,58.7,0.0,26.8,E,114,24.78,0.67,38.06,5.0,WARNING,WARNING,-1.0896,37.0105,KE-NBI-001,JKUAT Main Farm, Juja,Generated (offline fallback)
2024-02-09,Friday,February,2,2024,Dry (Dec-Feb),12,29.8,53.4,0.0,13.8,SW,78,26.88,0.75,39.44,5.0,NORMAL,NORMAL,-1.0896,37.0105,KE-NBI-001,JKUAT Main Farm, Juja,Generated (offline fallback)
2024-02-10,Saturday,February,2,2024,Dry (Dec-Feb),12,20.8,60.6,0.0,5.4,N,66,18.02,0.56,31.06,5.0,NORMAL,NORMAL,-1.0896,37.0105,KE-NBI-001,JKUAT Main Farm, Juja,Generated (offline fallback)
2024-02-11,Sunday,February,2,2024,Dry (Dec-Feb),12,22.4,64.8,0.0,27.5,NW,83,19.71,0.55,33.54,5.0,NORMAL,NORMAL,-1.0896,37.0105,KE-NBI-001,JKUAT Main Farm, Juja,Generated (offline fallback)
2024-02-12,Monday,February,2,2024,Dry (Dec-Feb),12,28.3,67.2,0.0,25.1,E,75,25.65,0.61,40.41,5.0,NORMAL,NORMAL,-1.0896,37.0105,KE-NBI-001,JKUAT Main Farm, Juja,Generated (offline fallback)
2024-02-13,Tuesday,February,2,2024,Dry (Dec-Feb),12,24.5,48.1,9.1,21.7,S,49,21.47,0.7,32.81,0.0,NORMAL,NORMAL,-1.0896,37.0105,KE-NBI-001,JKUAT Main Farm, Juja,Generated (offline fallback)
2024-02-14,Wednesday,February,2,2024,Dry (Dec-Feb),12,23.7,64.4,1.1,12.9,SE,70,21.0,0.57,34.88,3.9,NORMAL,NORMAL,-1.0896,37.0105,KE-NBI-001,JKUAT Main Farm, Juja,Generated (offline fallback)
2024-02-15,Thursday,February,2,2024,Dry (Dec-Feb),12,25.6,51.8,0.0,7.2,NW,45,22.64,0.69,34.65,5.0,NORMAL,NORMAL,-1.0896,37.0105,KE-NBI-001,JKUAT Main Farm, Juja,Generated (offline fallback)
2024-02-16,Friday,February,2,2024,Dry (Dec-Feb),12,26.4,64.1,0.0,5.9,W,41,23.69,0.61,37.76,5.0,NORMAL,NORMAL,-1.0896,37.0105,KE-NBI-001,JKUAT Main Farm, Juja,Generated (offline fallback)
2024-02-17,Saturday,February,2,2024,Dry (Dec-Feb),12,28.7,69.4,0.0,10.3,SE,84,26.1,0.59,41.26,5.0,NORMAL,NORMAL,-1.0896,37.0105,KE-NBI-001,JKUAT Main Farm, Juja,Generated (offline fallback)
2024-02-18,Sunday,February,2,2024,Dry (Dec-Feb),12,30.9,49.0,0.0,19.0,NW,77,27.89,0.8,39.8,5.0,NORMAL,NORMAL,-1.0896,37.0105,KE-NBI-001,JKUAT Main Farm, Juja,Generated (offline fallback)
2024-02-19,Monday,February,2,2024,Dry (Dec-Feb),12,29.8,53.4,1.0,18.7,SW,64,26.88,0.75,39.44,4.0,NORMAL,NORMAL,-1.0896,37.0105,KE-NBI-001,JKUAT Main Farm, Juja,Generated (offline fallback)
2024-02-20,Tuesday,February,2,2024,Dry (Dec-Feb),12,21.5,50.6,0.0,24.9,E,89,18.52,0.64,30.05,5.0,NORMAL,NORMAL,-1.0896,37.0105,KE-NBI-001,JKUAT Main Farm, Juja,Generated (offline fallback)
2024-02-21,Wednesday,February,2,2024,Dry (Dec-Feb),12,18.6,68.5,0.0,27.3,NE,85,15.98,0.47,30.05,5.0,WARNING,WARNING,-1.0896,37.0105,KE-NBI-001,JKUAT Main Farm, Juja,Generated (offline fallback)
2024-02-22,Thursday,February,2,2024,Dry (Dec-Feb),12,30.6,64.1,0.0,21.2,S,52,27.89,0.67,42.33,5.0,NORMAL,NORMAL,-1.0896,37.0105,KE-NBI-001,JKUAT Main Farm, Juja,Generated (offline fallback)
2024-02-23,Friday,February,2,2024,Dry (Dec-Feb),12,28.9,50.4,0.0,18.6,S,48,25.92,0.76,37.92,5.0,NORMAL,NORMAL,-1.0896,37.0105,KE-NBI-001,JKUAT Main Farm, Juja,Generated (offline fallback)
2024-02-24,Saturday,February,2,2024,Dry (Dec-Feb),12,24.2,53.9,0.0,24.5,SW,62,21.29,0.66,33.53,5.0,NORMAL,NORMAL,-1.0896,37.0105,KE-NBI-001,JKUAT Main Farm, Juja,Generated (offline fallback)
2024-02-25,Sunday,February,2,2024,Dry (Dec-Feb),12,27.5,66.5,0.0,19.9,E,65,24.84,0.6,39.4,5.0,NORMAL,NORMAL,-1.0896,37.0105,KE-NBI-001,JKUAT Main Farm, Juja,Generated (offline fallback)
2024-02-26,Monday,February,2,2024,Dry (Dec-Feb),12,24.9,61.3,0.0,10.0,SW,50,22.13,0.61,35.62,5.0,NORMAL,NORMAL,-1.0896,37.0105,KE-NBI-001,JKUAT Main Farm, Juja,Generated (offline fallback)
2024-02-27,Tuesday,February,2,2024,Dry (Dec-Feb),12,28.2,50.1,0.1,15.2,NE,52,25.21,0.75,37.12,4.9,NORMAL,NORMAL,-1.0896,37.0105,KE-NBI-001,JKUAT Main Farm, Juja,Generated (offline fallback)
2024-02-28,Wednesday,February,2,2024,Dry (Dec-Feb),12,29.7,56.6,0.0,18.0,E,58,26.84,0.72,39.94,5.0,NORMAL,NORMAL,-1.0896,37.0105,KE-NBI-001,JKUAT Main Farm, Juja,Generated (offline fallback)
2024-02-29,Thursday,February,2,2024,Dry (Dec-Feb),12,23.2,55.7,0.0,16.0,NW,56,20.32,0.63,32.77,5.0,NORMAL,NORMAL,-1.0896,37.0105,KE-NBI-001,JKUAT Main Farm, Juja,Generated (offline fallback)
2024-03-01,Friday,March,3,2024,Long Rains,12,22.7,61.3,0.0,17.3,SE,67,19.93,0.58,33.24,5.0,NORMAL,NORMAL,-1.0896,37.0105,KE-NBI-001,JKUAT Main Farm, Juja,Generated (offline fallback)
2024-03-02,Saturday,March,3,2024,Long Rains,12,20.7,77.8,0.0,7.1,NE,56,18.27,0.42,34.01,5.0,NORMAL,NORMAL,-1.0896,37.0105,KE-NBI-001,JKUAT Main Farm, Juja,Generated (offline fallback)
2024-03-03,Sunday,March,3,2024,Long Rains,12,20.8,75.2,0.0,17.7,W,63,18.32,0.44,33.65,5.0,NORMAL,NORMAL,-1.0896,37.0105,KE-NBI-001,JKUAT Main Farm, Juja,Generated (offline fallback)
2024-03-04,Monday,March,3,2024,Long Rains,12,29.7,82.2,0.0,11.5,S,62,27.36,0.46,44.83,5.0,NORMAL,NORMAL,-1.0896,37.0105,KE-NBI-001,JKUAT Main Farm, Juja,Generated (offline fallback)
2024-03-05,Tuesday,March,3,2024,Long Rains,12,24.7,98.0,25.6,15.6,E,63,22.67,0.14,42.24,0.0,CRITICAL,CRITICAL,-1.0896,37.0105,KE-NBI-001,JKUAT Main Farm, Juja,Generated (offline fallback)
2024-03-06,Wednesday,March,3,2024,Long Rains,12,25.9,60.2,0.0,13.9,W,57,23.11,0.63,36.5,5.0,NORMAL,NORMAL,-1.0896,37.0105,KE-NBI-001,JKUAT Main Farm, Juja,Generated (offline fallback)
2024-03-07,Thursday,March,3,2024,Long Rains,12,22.4,79.9,2.4,16.0,NW,68,20.01,0.41,36.27,2.6,NORMAL,NORMAL,-1.0896,37.0105,KE-NBI-001,JKUAT Main Farm, Juja,Generated (offline fallback)
2024-03-08,Friday,March,3,2024,Long Rains,12,28.9,71.7,0.0,3.1,NW,48,26.34,0.57,41.92,5.0,NORMAL,NORMAL,-1.0896,37.0105,KE-NBI-001,JKUAT Main Farm, Juja,Generated (offline fallback)
2024-03-09,Saturday,March,3,2024,Long Rains,12,21.6,87.4,32.8,15.0,SE,47,19.36,0.32,36.75,0.0,CRITICAL,CRITICAL,-1.0896,37.0105,KE-NBI-001,JKUAT Main Farm, Juja,Generated (offline fallback)
2024-03-10,Sunday,March,3,2024,Long Rains,12,19.2,65.5,0.0,7.7,E,56,16.52,0.5,30.18,5.0,WARNING,WARNING,-1.0896,37.0105,KE-NBI-001,JKUAT Main Farm, Juja,Generated (offline fallback)
2024-03-11,Monday,March,3,2024,Long Rains,12,21.6,83.6,38.6,7.8,NW,41,19.28,0.37,36.06,0.0,CRITICAL,CRITICAL,-1.0896,37.0105,KE-NBI-001,JKUAT Main Farm, Juja,Generated (offline fallback)
2024-03-12,Tuesday,March,3,2024,Long Rains,12,24.7,73.7,0.0,13.8,NE,32,22.18,0.5,37.67,5.0,NORMAL,NORMAL,-1.0896,37.0105,KE-NBI-001,JKUAT Main Farm, Juja,Generated (offline fallback)
2024-03-13,Wednesday,March,3,2024,Long Rains,12,21.8,96.2,20.2,9.7,E,61,19.74,0.18,38.6,0.0,WARNING,WARNING,-1.0896,37.0105,KE-NBI-001,JKUAT Main Farm, Juja,Generated (offline fallback)
2024-03-14,Thursday,March,3,2024,Long Rains,12,24.6,89.1,6.2,14.0,NE,31,22.4,0.32,40.43,0.0,WARNING,WARNING,-1.0896,37.0105,KE-NBI-001,JKUAT Main Farm, Juja,Generated (offline fallback)
2024-03-15,Friday,March,3,2024,Long Rains,12,30.2,78.7,27.3,11.0,E,34,27.79,0.51,44.7,0.0,CRITICAL,CRITICAL,-1.0896,37.0105,KE-NBI-001,JKUAT Main Farm, Juja,Generated (offline fallback)
2024-03-16,Saturday,March,3,2024,Long Rains,12,20.8,71.6,32.6,8.4,E,66,18.24,0.47,33.01,0.0,CRITICAL,CRITICAL,-1.0896,37.0105,KE-NBI-001,JKUAT Main Farm, Juja,Generated (offline fallback)
2024-03-17,Sunday,March,3,2024,Long Rains,12,27.6,84.9,0.0,15.5,SW,40,25.31,0.41,43.0,5.0,NORMAL,NORMAL,-1.0896,37.0105,KE-NBI-001,JKUAT Main Farm, Juja,Generated (offline fallback)
2024-03-18,Monday,March,3,2024,Long Rains,12,24.1,91.0,21.8,13.5,SW,39,21.93,0.29,40.23,0.0,WARNING,WARNING,-1.0896,37.0105,KE-NBI-001,JKUAT Main Farm, Juja,Generated (offline fallback)
2024-03-19,Tuesday,March,3,2024,Long Rains,12,29.0,72.9,17.5,5.2,E,57,26.47,0.56,42.26,0.0,NORMAL,NORMAL,-1.0896,37.0105,KE-NBI-001,JKUAT Main Farm, Juja,Generated (offline fallback)
2024-03-20,Wednesday,March,3,2024,Long Rains,12,28.7,68.1,0.0,14.5,SW,58,26.07,0.6,41.02,5.0,NORMAL,NORMAL,-1.0896,37.0105,KE-NBI-001,JKUAT Main Farm, Juja,Generated (offline fallback)
2024-03-21,Thursday,March,3,2024,Long Rains,12,27.3,80.9,0.0,17.9,W,35,24.93,0.45,41.9,5.0,NORMAL,NORMAL,-1.0896,37.0105,KE-NBI-001,JKUAT Main Farm, Juja,Generated (offline fallback)
2024-03-22,Friday,March,3,2024,Long Rains,12,19.7,71.1,0.0,14.0,W,68,17.13,0.46,31.71,5.0,WARNING,WARNING,-1.0896,37.0105,KE-NBI-001,JKUAT Main Farm, Juja,Generated (offline fallback)
2024-03-23,Saturday,March,3,2024,Long Rains,12,22.3,82.2,0.0,8.7,S,34,19.96,0.39,36.58,5.0,NORMAL,NORMAL,-1.0896,37.0105,KE-NBI-001,JKUAT Main Farm, Juja,Generated (offline fallback)
2024-03-24,Sunday,March,3,2024,Long Rains,12,27.6,85.9,33.0,8.8,E,57,25.33,0.39,43.19,0.0,CRITICAL,CRITICAL,-1.0896,37.0105,KE-NBI-001,JKUAT Main Farm, Juja,Generated (offline fallback)
2024-03-25,Monday,March,3,2024,Long Rains,12,27.2,77.0,29.3,14.5,S,37,24.75,0.5,41.05,0.0,CRITICAL,CRITICAL,-1.0896,37.0105,KE-NBI-001,JKUAT Main Farm, Juja,Generated (offline fallback)
2024-03-26,Tuesday,March,3,2024,Long Rains,12,28.2,89.4,28.1,17.0,NE,36,26.0,0.34,44.54,0.0,CRITICAL,CRITICAL,-1.0896,37.0105,KE-NBI-001,JKUAT Main Farm, Juja,Generated (offline fallback)
2024-03-27,Wednesday,March,3,2024,Long Rains,12,23.5,68.0,9.8,16.3,E,35,20.87,0.54,35.31,0.0,NORMAL,NORMAL,-1.0896,37.0105,KE-NBI-001,JKUAT Main Farm, Juja,Generated (offline fallback)
2024-03-28,Thursday,March,3,2024,Long Rains,12,24.5,71.8,0.0,3.0,NW,38,21.95,0.52,37.1,5.0,NORMAL,NORMAL,-1.0896,37.0105,KE-NBI-001,JKUAT Main Farm, Juja,Generated (offline fallback)
2024-03-29,Friday,March,3,2024,Long Rains,12,18.5,83.9,0.0,9.1,SE,57,16.19,0.34,32.66,5.0,WARNING,WARNING,-1.0896,37.0105,KE-NBI-001,JKUAT Main Farm, Juja,Generated (offline fallback)
2024-03-30,Saturday,March,3,2024,Long Rains,12,20.3,84.9,3.2,15.8,SE,65,18.01,0.34,34.84,1.8,NORMAL,NORMAL,-1.0896,37.0105,KE-NBI-001,JKUAT Main Farm, Juja,Generated (offline fallback)
2024-03-31,Sunday,March,3,2024,Long Rains,12,17.9,85.7,33.4,14.5,W,56,15.63,0.31,32.31,0.0,CRITICAL,CRITICAL,-1.0896,37.0105,KE-NBI-001,JKUAT Main Farm, Juja,Generated (offline fallback)
2024-04-01,Monday,April,4,2024,Long Rains,12,23.4,86.3,27.9,8.7,NW,26,21.14,0.35,38.56,0.0,CRITICAL,CRITICAL,-1.0896,37.0105,KE-NBI-001,JKUAT Main Farm, Juja,Generated (offline fallback)
2024-04-02,Tuesday,April,4,2024,Long Rains,12,27.4,75.1,0.0,3.9,W,46,24.91,0.52,40.91,5.0,NORMAL,NORMAL,-1.0896,37.0105,KE-NBI-001,JKUAT Main Farm, Juja,Generated (offline fallback)
2024-04-03,Wednesday,April,4,2024,Long Rains,12,20.9,75.1,15.7,13.0,E,31,18.41,0.44,33.74,0.0,NORMAL,NORMAL,-1.0896,37.0105,KE-NBI-001,JKUAT Main Farm, Juja,Generated (offline fallback)
2024-04-04,Thursday,April,4,2024,Long Rains,12,28.5,97.7,39.9,9.5,NE,49,26.47,0.16,46.51,0.0,CRITICAL,CRITICAL,-1.0896,37.0105,KE-NBI-001,JKUAT Main Farm, Juja,Generated (offline fallback)
2024-04-05,Friday,April,4,2024,Long Rains,12,22.5,87.4,38.2,12.8,SE,30,20.26,0.33,37.76,0.0,CRITICAL,CRITICAL,-1.0896,37.0105,KE-NBI-001,JKUAT Main Farm, Juja,Generated (offline fallback)
2024-04-06,Saturday,April,4,2024,Long Rains,12,21.6,78.9,31.0,4.9,E,26,19.19,0.42,35.2,0.0,CRITICAL,CRITICAL,-1.0896,37.0105,KE-NBI-001,JKUAT Main Farm, Juja,Generated (offline fallback)
2024-04-07,Sunday,April,4,2024,Long Rains,12,23.0,83.6,33.3,13.0,SE,36,20.68,0.38,37.62,0.0,CRITICAL,CRITICAL,-1.0896,37.0105,KE-NBI-001,JKUAT Main Farm, Juja,Generated (offline fallback)
2024-04-08,Monday,April,4,2024,Long Rains,12,26.7,83.3,32.3,10.9,SW,64,24.38,0.42,41.69,0.0,CRITICAL,CRITICAL,-1.0896,37.0105,KE-NBI-001,JKUAT Main Farm, Juja,Generated (offline fallback)
2024-04-09,Tuesday,April,4,2024,Long Rains,12,27.1,76.4,0.0,10.1,E,39,24.64,0.5,40.83,5.0,NORMAL,NORMAL,-1.0896,37.0105,KE-NBI-001,JKUAT Main Farm, Juja,Generated (offline fallback)
2024-04-10,Wednesday,April,4,2024,Long Rains,12,24.9,72.6,8.5,2.1,SE,34,22.36,0.51,37.69,0.0,NORMAL,NORMAL,-1.0896,37.0105,KE-NBI-001,JKUAT Main Farm, Juja,Generated (offline fallback)
2024-04-11,Thursday,April,4,2024,Long Rains,12,23.8,98.0,28.0,6.4,S,46,21.77,0.14,41.21,0.0,CRITICAL,CRITICAL,-1.0896,37.0105,KE-NBI-001,JKUAT Main Farm, Juja,Generated (offline fallback)
2024-04-12,Friday,April,4,2024,Long Rains,12,27.7,86.1,0.0,5.3,SE,38,25.43,0.39,43.34,5.0,WARNING,WARNING,-1.0896,37.0105,KE-NBI-001,JKUAT Main Farm, Juja,Generated (offline fallback)
2024-04-13,Saturday,April,4,2024,Long Rains,12,26.5,86.3,9.8,6.9,N,43,24.24,0.38,42.04,0.0,WARNING,WARNING,-1.0896,37.0105,KE-NBI-001,JKUAT Main Farm, Juja,Generated (offline fallback)
2024-04-14,Sunday,April,4,2024,Long Rains,12,23.4,85.2,0.0,8.0,SW,26,21.12,0.36,38.36,5.0,WARNING,WARNING,-1.0896,37.0105,KE-NBI-001,JKUAT Main Farm, Juja,Generated (offline fallback)
2024-04-15,Monday,April,4,2024,Long Rains,12,25.7,88.5,33.5,11.7,NE,64,23.48,0.34,41.56,0.0,CRITICAL,CRITICAL,-1.0896,37.0105,KE-NBI-001,JKUAT Main Farm, Juja,Generated (offline fallback)
2024-04-16,Tuesday,April,4,2024,Long Rains,12,25.7,76.9,0.0,14.2,SW,50,23.25,0.48,39.37,5.0,NORMAL,NORMAL,-1.0896,37.0105,KE-NBI-001,JKUAT Main Farm, Juja,Generated (offline fallback)
2024-04-17,Wednesday,April,4,2024,Long Rains,12,27.1,89.8,29.5,10.8,W,45,24.91,0.33,43.38,0.0,CRITICAL,CRITICAL,-1.0896,37.0105,KE-NBI-001,JKUAT Main Farm, Juja,Generated (offline fallback)
2024-04-18,Thursday,April,4,2024,Long Rains,12,22.8,83.2,48.6,4.7,NE,47,20.48,0.38,37.32,0.0,CRITICAL,CRITICAL,-1.0896,37.0105,KE-NBI-001,JKUAT Main Farm, Juja,Generated (offline fallback)
2024-04-19,Friday,April,4,2024,Long Rains,12,23.3,90.8,20.4,6.4,NE,26,21.13,0.29,39.29,0.0,WARNING,WARNING,-1.0896,37.0105,KE-NBI-001,JKUAT Main Farm, Juja,Generated (offline fallback)
